accuracy,avg_reward,reward_ema,accuracy_ema,loss,baseline,batch_size,attempted,code_extracted,exec_ok,nonzero_reward,no_code,exec_error,stdout_empty,fallback_used,parse_failed,wrapped_action_code
0.0,0.0,0.19266877700098567,0.18640604033811115,0.0,0.20877873196998,4,4,4,4,0,8,0,0,0,0,4
0.0,0.075,0.18090189930088713,0.16776543630430005,-12.328125,0.202089795371481,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.2128117093707984,0.20098889267387005,-6.80078125,0.21698530560290696,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.21653053843371856,0.20589000340648303,4.1875,0.21863604032276163,4,4,5,3,1,7,2,0,1,0,3
0.0,0.0,0.1948774845903467,0.18530100306583472,0.0,0.20770423830662355,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.20038973613131203,0.19177090275925124,4.3125,0.20981902639129238,4,4,4,4,1,8,0,0,0,0,4
0.0,0.0,0.18035076251818083,0.17259381248332611,0.0,0.19932807507172776,4,4,5,4,0,7,1,0,0,0,4
0.25,0.25,0.18731568626636275,0.18033443123499351,25.15771484375,0.20186167131814137,4,4,4,4,1,8,0,0,0,0,4
0.25,0.325,0.20108411763972647,0.18730098811149415,-8.451171875,0.2080185877522343,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.2059757058757538,0.19357088930034475,13.46875,0.2101176583646226,4,4,4,4,1,8,0,0,0,0,4
0.75,0.75,0.26037813528817844,0.24921380037031027,-8.25,0.23711177544639148,4,4,4,4,3,8,0,0,0,0,4
0.0,0.0,0.2343403217593606,0.22429242033327926,0.0,0.22525618667407188,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.23590628958342452,0.22686317829995134,-2.34375,0.22649337734036828,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.23731566062508208,0.2291768604699562,-0.625,0.22766870847334988,4,4,5,3,1,7,2,0,1,1,3
0.0,0.0,0.21358409456257388,0.20625917442296057,0.0,0.21628527304968237,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.21722568510631649,0.2106332569806645,-7.53125,0.21797100939719824,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.22050311659568483,0.21456993128259805,3.65625,0.21957245892733834,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.22345280493611636,0.21811293815433824,-7.40234375,0.22109383598097143,4,4,5,3,1,7,2,0,1,0,3
0.0,0.15,0.21610752444250472,0.19630164433890443,-14.359375,0.21753914418192286,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.19449677199825424,0.176671479905014,0.0,0.2066621869728267,4,4,4,4,0,8,0,0,0,0,4
0.0,0.075,0.18254709479842882,0.1590043319145126,-18.751953125,0.20007907762418536,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.21429238531858594,0.19310389872306133,16.375,0.2150751237429761,4,4,4,4,2,8,0,0,0,0,4
