accuracy,avg_reward,reward_ema,accuracy_ema,loss,baseline,batch_size,attempted,code_extracted,exec_ok,nonzero_reward,no_code,exec_error,stdout_empty,fallback_used,parse_failed,wrapped_action_code
0.75,0.75,0.35744156510835345,0.3344294495172242,-1.246826171875,0.1955172834797029,4,4,4,4,3,8,0,0,0,0,4
0.25,0.25,0.3466974085975181,0.3259865045655018,5.984375,0.1971517649753118,4,4,4,3,1,8,1,0,1,0,3
0.5,0.5,0.3620276677377663,0.3433878541089516,9.903564453125,0.20623721202605247,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.35082490096398966,0.3340490686980565,0.56591796875,0.20755009566527088,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.3407424108675907,0.32564416182825084,-4.734375,0.20882359279531276,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.3316681697808317,0.31807974564542574,4.3515625,0.21005888501145337,4,4,4,4,1,8,0,0,0,0,4
0.0,0.0,0.29850135280274853,0.2862717710808832,0.0,0.20375711846110975,4,4,4,4,0,8,0,0,0,0,4
0.0,0.075,0.2761512175224737,0.2576445939727949,0.059326171875,0.19989440490727645,4,4,4,4,1,8,0,0,0,0,4
0.0,0.075,0.2560360957702263,0.2318801345755154,-3.2421875,0.19614757276005815,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.28043248619320366,0.25869212111796386,9.974609375,0.20526314557725642,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.3023892375738833,0.28282290900616747,-5.3671875,0.21410525120993873,4,4,4,4,2,8,0,0,0,0,4
0.0,0.075,0.27965031381649497,0.25454061810555073,-2.9873046875,0.20993209367364057,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.27668528243484547,0.25408655629499566,3.833984375,0.21113413086343136,4,4,4,4,1,8,0,0,0,0,4
0.5,0.575,0.30651675419136093,0.2786779006654961,3.698486328125,0.2220501069375284,4,4,5,3,3,7,2,0,1,0,3
0.25,0.25,0.3008650787722248,0.27581011059894645,-4.133544921875,0.22288860372940256,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.29577857089500237,0.27322909953905183,-7.7685546875,0.2237019456175205,4,4,4,4,1,8,0,0,0,0,4
0.25,0.325,0.2987007138055021,0.2709061895851467,-8.224584579467773,0.22674088724899488,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.3188306424249519,0.293815570626632,-12.0859375,0.23493866063152505,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.3369475781824567,0.3144340135639688,1.8603515625,0.2428905008125793,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.328252820364211,0.30799061220757185,-3.892578125,0.2431037857882019,4,4,5,3,1,7,2,0,1,0,3
0.5,0.575,0.3529275383277899,0.3271915509868147,8.51171875,0.25306067221455586,4,4,5,3,3,7,2,0,1,0,3
0.25,0.325,0.3501347844950109,0.31947239588813325,-2.1865234375,0.2552188520481192,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.3651213060455098,0.33752515629931995,-4.30712890625,0.2625622864866757,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.3536091754409588,0.32877264066938794,1.17578125,0.2621854178920754,4,4,4,4,1,8,0,0,0,0,4
0.0,0.0,0.31824825789686295,0.29589537660244913,0.0,0.2543198553553131,4,4,4,4,0,8,0,0,0,0,4
0.0,0.15,0.3014234321071767,0.2663058389422042,-2.17425537109375,0.2511902596946537,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.321281088896459,0.2896752550479838,-5.1640625,0.2586545519038141,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.31415298000681313,0.28570772954318546,-0.796875,0.25839491534669967,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.30773768200613183,0.28213695658886695,-4.285888671875,0.2581430678862987,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.3019639138055187,0.2789232609299802,1.2890625,0.2578987758497097,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.29676752242496685,0.27603093483698216,4.38671875,0.25766181257421844,4,4,4,4,1,8,0,0,0,0,4
0.25,0.325,0.29959077018247016,0.2734278413532839,15.9599609375,0.2596819581969919,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.31963169316422313,0.2960850572179555,3.9375,0.26689149945108215,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.28766852384780084,0.26647655149616,0.0,0.25888475446754966,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.3089016714630208,0.28982889634654396,12.9434814453125,0.2661182118335232,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.30301150431671875,0.28584600671188953,-10.3758544921875,0.2656346654785175,4,4,4,4,1,8,0,0,0,0,4
0.0,0.075,0.2802103538850469,0.2572614060407006,-5.6484375,0.2599156255141619,4,4,4,4,1,8,0,0,0,0,4
0.25,0.325,0.28468931849654217,0.2565352654366305,0.414306640625,0.2618681567487371,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.281220386646888,0.2558817388929675,-2.7261962890625,0.261512112046275,4,4,4,4,1,8,0,0,0,0,4
0.75,0.75,0.32809834798219917,0.3052935650036708,5.77734375,0.2761667486848868,4,4,5,3,3,7,2,0,1,0,3
0.0,0.15,0.31028851318397926,0.2747642085033037,0.578125,0.2723817462243402,4,4,4,3,2,8,1,0,1,0,3
0.5,0.575,0.3367596618655813,0.2972877876529733,-0.337890625,0.28146029383760995,4,4,4,4,3,8,0,0,0,0,4
0.25,0.25,0.3280836956790232,0.29255900888767594,-8.174560546875,0.28051648502248167,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.32027532611112086,0.28830310799890835,18.216796875,0.2796009904718072,4,4,4,4,1,8,0,0,0,0,4
0.75,0.75,0.3632477935000088,0.33447279719901746,0.32421875,0.293712960757653,4,4,4,4,3,8,0,0,0,0,4
0.0,0.0,0.3269230141500079,0.3010255174791157,0.0,0.28490157193492344,4,4,4,4,0,8,0,0,0,0,4
0.0,0.0,0.2942307127350071,0.27092296573120417,0.0,0.2763545247768757,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.3148076414615064,0.29383066915808376,-1.9453125,0.28306388903356944,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.33332687731535576,0.31444760224227536,9.994140625,0.2895719723625624,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.3249941895838202,0.30800284201804784,2.739013671875,0.2883848131916855,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.3424947706254382,0.3272025578162431,3.6328125,0.294733268795935,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.3082452935628944,0.2944823020346188,0.0,0.28589127073205695,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.3024207642066049,0.2900340718311569,-0.58489990234375,0.28481453261009526,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.2971786877859445,0.2860306646480413,-4.19189453125,0.2837700966317924,4,4,4,4,1,8,0,0,0,0,4
0.25,0.325,0.29996081900735,0.28242759818323715,-0.2060546875,0.28500699373283866,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.269964737106615,0.25418483836491346,0.0,0.2764567839208535,4,4,4,4,0,8,0,0,0,0,4
0.0,0.0,0.2429682633959535,0.22876635452842212,0.0,0.2681630804032279,4,4,4,4,0,8,0,0,0,0,4
1.0,1.0,0.31867143705635814,0.3058897190755799,0.0,0.2901181879911311,4,4,4,4,4,8,0,0,0,0,4
