accuracy,avg_reward,reward_ema,accuracy_ema,loss,baseline,batch_size,attempted,code_extracted,exec_ok,nonzero_reward,no_code,exec_error,stdout_empty,fallback_used,parse_failed,wrapped_action_code
0.33299999999999996,0.383,0.383,0.33299999999999996,-7.7044,0.0,6,6,6,6,0,0,0,0,0,0,5
0.0,0.05,0.35,0.3,-3.1641,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.167,0.332,0.287,2.0716,0.0,6,6,6,6,0,0,0,0,0,0,6
0.5,0.5,0.348,0.308,-3.4622,0.0,6,6,6,6,0,0,0,0,0,0,6
0.5,0.5,0.364,0.327,-10.3125,0.0,6,6,6,6,0,0,0,0,0,0,6
0.667,0.667,0.394,0.361,11.0547,0.0,6,6,6,6,0,0,0,0,0,0,6
0.5,0.5,0.405,0.375,-8.4792,0.0,6,6,6,6,0,0,0,0,0,0,6
0.0,0.0,0.364,0.33799999999999997,0.0,0.0,6,6,6,6,0,0,0,0,0,0,6
0.5,0.55,0.383,0.354,-2.6771,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.333,0.378,0.35200000000000004,-4.2708,0.0,6,6,7,6,0,0,0,0,0,0,5
0.33299999999999996,0.333,0.373,0.35,-9.696,0.0,6,6,7,6,0,0,0,0,0,0,5
0.33299999999999996,0.333,0.369,0.348,-3.0384,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.333,0.366,0.34700000000000003,-2.3203,0.0,6,6,8,6,0,0,0,0,0,0,5
0.16699999999999998,0.167,0.346,0.32899999999999996,-2.4665,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.383,0.35,0.32899999999999996,4.9479,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.333,0.348,0.33,-3.4375,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.383,0.351,0.33,9.9176,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.167,0.333,0.314,-4.2076,0.0,6,6,7,6,0,0,0,0,0,0,5
0.33299999999999996,0.333,0.333,0.316,-2.9714,0.0,6,6,6,6,0,0,0,0,0,0,6
0.0,0.0,0.3,0.284,0.0,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.217,0.291,0.272,-2.3906,0.0,6,6,6,6,0,0,0,0,0,0,6
0.667,0.667,0.329,0.312,0.3021,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.167,0.313,0.297,-0.2899,0.0,6,6,6,6,0,0,0,0,0,0,6
0.0,0.0,0.281,0.268,0.5052,0.0,6,6,7,6,0,0,0,0,0,0,5
0.16699999999999998,0.267,0.28,0.257,0.2734,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.167,0.269,0.248,0.6797,0.0,6,6,6,6,0,0,0,0,0,0,6
0.667,0.667,0.308,0.29,-8.0208,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.217,0.299,0.278,-0.8626,0.0,6,6,6,6,0,0,0,0,0,0,6
0.0,0.0,0.269,0.25,0.0,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.333,0.276,0.258,6.6979,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.167,0.265,0.249,5.4961,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.167,0.255,0.24100000000000002,-5.2184,0.0,6,6,6,6,0,0,0,0,0,0,6
0.0,0.0,0.23,0.217,0.0,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.383,0.245,0.22899999999999998,2.3133,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.167,0.237,0.222,22.8326,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.333,0.247,0.233,-0.1667,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.333,0.255,0.243,4.5827,0.0,6,6,6,6,0,0,0,0,0,0,6
0.0,0.05,0.235,0.21899999999999997,-4.8542,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.167,0.228,0.214,-5.1873,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.267,0.232,0.209,-5.0299,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.217,0.23,0.205,-2.182,0.0,6,6,6,6,0,0,0,0,0,0,6
0.16699999999999998,0.167,0.224,0.201,-10.0854,0.0,6,6,6,6,0,0,0,0,0,0,6
0.0,0.05,0.207,0.18100000000000002,5.8874,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.433,0.229,0.196,2.1715,0.0,6,6,7,6,0,0,0,0,0,0,5
0.16699999999999998,0.167,0.223,0.193,-5.6291,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.333,0.234,0.207,-2.1003,0.0,6,6,6,6,0,0,0,0,0,0,6
0.0,0.05,0.216,0.187,-1.6087,0.0,6,6,6,6,0,0,0,0,0,0,6
0.5,0.55,0.249,0.218,-3.6468,0.0,6,6,6,6,0,0,0,0,0,0,6
0.5,0.5,0.274,0.24600000000000002,7.2317,0.0,6,6,6,6,0,0,0,0,0,0,6
0.33299999999999996,0.333,0.28,0.255,7.9033,0.0,6,6,6,6,0,0,0,0,0,0,6
